account_id,district_id,frequency,Date,Account_type
2162,50,MONTHLY ISSUANCE,2020-11-21,NRI account
1125,1,WEEKLY ISSUANCE,2020-11-21,Savings account
3382,23,WEEKLY ISSUANCE,2020-11-20,Savings account
2125,43,WEEKLY ISSUANCE,2020-11-20,NRI account
3396,1,MONTHLY ISSUANCE,2020-11-20,Salary account
3365,11,MONTHLY ISSUANCE,2020-11-18,Savings account
2693,17,MONTHLY ISSUANCE,2020-11-17,NRI account
1866,4,MONTHLY ISSUANCE,2020-11-17,Savings account
149,43,MONTHLY ISSUANCE,2020-11-16,NRI account
3082,33,MONTHLY ISSUANCE,2020-11-16,NRI account
3156,1,ISSUANCE AFTER TRANSACTION,2020-11-16,Salary account
2438,71,MONTHLY ISSUANCE,2020-11-16,Salary account
1833,54,MONTHLY ISSUANCE,2020-11-15,Salary account
2221,58,MONTHLY ISSUANCE,2020-11-15,NRI account
2658,27,MONTHLY ISSUANCE,2020-11-14,Salary account
2721,74,MONTHLY ISSUANCE,2020-11-14,NRI account
2920,73,MONTHLY ISSUANCE,2020-11-13,Savings account
566,8,MONTHLY ISSUANCE,2020-11-13,Savings account
1245,68,MONTHLY ISSUANCE,2020-11-12,NRI account
1348,55,MONTHLY ISSUANCE,2020-11-12,Savings account
3423,11,MONTHLY ISSUANCE,2020-11-10,Salary account
2831,1,MONTHLY ISSUANCE,2020-11-10,Savings account
2211,61,ISSUANCE AFTER TRANSACTION,2020-11-10,Salary account
3360,71,MONTHLY ISSUANCE,2020-11-10,Salary account
952,41,MONTHLY ISSUANCE,2020-11-09,Savings account
696,54,MONTHLY ISSUANCE,2020-11-09,NRI account
2998,21,MONTHLY ISSUANCE,2020-11-09,Salary account
867,60,MONTHLY ISSUANCE,2020-11-09,NRI account
1208,4,MONTHLY ISSUANCE,2020-11-09,Savings account
2391,2,MONTHLY ISSUANCE,2020-11-07,NRI account
1140,49,MONTHLY ISSUANCE,2020-11-07,Salary account
644,4,MONTHLY ISSUANCE,2020-11-06,NRI account
2402,18,MONTHLY ISSUANCE,2020-11-06,NRI account
3395,16,MONTHLY ISSUANCE,2020-11-05,NRI account
2296,29,MONTHLY ISSUANCE,2020-11-05,Savings account
10613,55,MONTHLY ISSUANCE,2020-11-04,Salary account
606,75,MONTHLY ISSUANCE,2020-11-04,NRI account
9227,51,MONTHLY ISSUANCE,2020-11-04,NRI account
1723,70,MONTHLY ISSUANCE,2020-11-04,Salary account
3404,33,MONTHLY ISSUANCE,2020-11-04,Savings account
1657,12,MONTHLY ISSUANCE,2020-11-04,Salary account
639,1,MONTHLY ISSUANCE,2020-11-03,NRI account
3325,11,MONTHLY ISSUANCE,2020-11-03,NRI account
1703,72,MONTHLY ISSUANCE,2020-11-02,Savings account
3598,76,MONTHLY ISSUANCE,2020-11-02,Savings account
782,42,MONTHLY ISSUANCE,2020-10-30,Salary account
2784,40,MONTHLY ISSUANCE,2020-10-30,NRI account
671,60,MONTHLY ISSUANCE,2020-10-29,Salary account
643,64,MONTHLY ISSUANCE,2020-10-28,Savings account
1340,52,MONTHLY ISSUANCE,2020-10-28,NRI account
2703,61,MONTHLY ISSUANCE,2020-10-28,Savings account
2413,33,MONTHLY ISSUANCE,2020-10-27,Savings account
3963,9,MONTHLY ISSUANCE,2020-10-27,Salary account
876,4,MONTHLY ISSUANCE,2020-10-26,Salary account
1172,6,MONTHLY ISSUANCE,2020-10-25,Savings account
398,69,MONTHLY ISSUANCE,2020-10-24,NRI account
2174,18,MONTHLY ISSUANCE,2020-10-24,Savings account
3705,20,MONTHLY ISSUANCE,2020-10-24,Salary account
1209,23,MONTHLY ISSUANCE,2020-10-23,NRI account
2371,15,WEEKLY ISSUANCE,2020-10-23,Salary account
852,57,MONTHLY ISSUANCE,2020-10-23,Savings account
2152,22,MONTHLY ISSUANCE,2020-10-23,Savings account
3857,54,MONTHLY ISSUANCE,2020-10-22,Salary account
156,64,MONTHLY ISSUANCE,2020-10-22,Savings account
3922,68,MONTHLY ISSUANCE,2020-10-22,NRI account
2910,68,MONTHLY ISSUANCE,2020-10-21,NRI account
2756,24,MONTHLY ISSUANCE,2020-10-21,Savings account
1572,72,MONTHLY ISSUANCE,2020-10-21,NRI account
1615,1,MONTHLY ISSUANCE,2020-10-20,Salary account
2311,28,MONTHLY ISSUANCE,2020-10-19,NRI account
2556,46,MONTHLY ISSUANCE,2020-10-19,Savings account
961,1,MONTHLY ISSUANCE,2020-10-18,Savings account
2579,24,MONTHLY ISSUANCE,2020-10-18,Savings account
3919,34,MONTHLY ISSUANCE,2020-10-18,NRI account
3875,44,MONTHLY ISSUANCE,2020-10-18,NRI account
550,24,MONTHLY ISSUANCE,2020-10-17,Savings account
3324,3,MONTHLY ISSUANCE,2020-10-17,Salary account
1061,44,MONTHLY ISSUANCE,2020-10-17,Salary account
2215,48,MONTHLY ISSUANCE,2020-10-17,Salary account
2053,5,MONTHLY ISSUANCE,2020-10-16,NRI account
3561,33,MONTHLY ISSUANCE,2020-10-15,Salary account
1807,21,MONTHLY ISSUANCE,2020-10-15,NRI account
11327,7,MONTHLY ISSUANCE,2020-10-15,NRI account
2231,2,MONTHLY ISSUANCE,2020-10-14,Salary account
966,15,MONTHLY ISSUANCE,2020-10-14,Salary account
1968,16,WEEKLY ISSUANCE,2020-10-14,NRI account
2879,15,MONTHLY ISSUANCE,2020-10-14,NRI account
3023,35,MONTHLY ISSUANCE,2020-10-14,Savings account
1279,28,MONTHLY ISSUANCE,2020-10-13,NRI account
502,1,MONTHLY ISSUANCE,2020-10-13,Salary account
1506,51,MONTHLY ISSUANCE,2020-10-13,Savings account
5708,64,WEEKLY ISSUANCE,2020-10-12,NRI account
7049,69,MONTHLY ISSUANCE,2020-10-12,NRI account
121,55,MONTHLY ISSUANCE,2020-10-11,NRI account
1727,9,MONTHLY ISSUANCE,2020-10-11,Savings account
2097,46,MONTHLY ISSUANCE,2020-10-11,Savings account
133,64,WEEKLY ISSUANCE,2020-10-11,Savings account
2897,51,MONTHLY ISSUANCE,2020-10-11,Savings account
745,43,MONTHLY ISSUANCE,2020-10-09,Salary account
3813,1,MONTHLY ISSUANCE,2020-10-09,NRI account
1342,9,MONTHLY ISSUANCE,2020-10-09,Savings account
2069,72,MONTHLY ISSUANCE,2020-10-08,Savings account
205,1,MONTHLY ISSUANCE,2020-10-08,Savings account
1150,29,MONTHLY ISSUANCE,2020-10-08,Salary account
1608,26,MONTHLY ISSUANCE,2020-10-08,Salary account
1494,1,MONTHLY ISSUANCE,2020-10-08,NRI account
2272,48,MONTHLY ISSUANCE,2020-10-08,Savings account
2634,45,MONTHLY ISSUANCE,2020-10-08,Savings account
4143,55,MONTHLY ISSUANCE,2020-10-07,Salary account
2133,11,MONTHLY ISSUANCE,2020-10-07,Salary account
3342,59,MONTHLY ISSUANCE,2020-10-06,NRI account
2715,42,MONTHLY ISSUANCE,2020-10-06,Salary account
1596,70,MONTHLY ISSUANCE,2020-10-05,NRI account
4116,6,MONTHLY ISSUANCE,2020-10-05,NRI account
3401,38,WEEKLY ISSUANCE,2020-10-04,Salary account
2036,70,MONTHLY ISSUANCE,2020-10-03,NRI account
6866,14,MONTHLY ISSUANCE,2020-10-02,Savings account
4132,36,MONTHLY ISSUANCE,2020-10-02,Savings account
2136,75,MONTHLY ISSUANCE,2020-10-02,Savings account
2370,51,MONTHLY ISSUANCE,2020-10-01,Savings account
1379,47,MONTHLY ISSUANCE,2020-10-01,NRI account
1313,45,MONTHLY ISSUANCE,2020-10-01,NRI account
129,74,MONTHLY ISSUANCE,2020-10-01,Savings account
2007,45,MONTHLY ISSUANCE,2020-09-29,Savings account
1064,70,MONTHLY ISSUANCE,2020-09-29,NRI account
7274,11,MONTHLY ISSUANCE,2020-09-28,NRI account
3383,29,MONTHLY ISSUANCE,2020-09-28,NRI account
2461,1,MONTHLY ISSUANCE,2020-09-28,Salary account
3916,8,MONTHLY ISSUANCE,2020-09-28,NRI account
2745,60,MONTHLY ISSUANCE,2020-09-28,NRI account
10152,34,MONTHLY ISSUANCE,2020-09-28,NRI account
2846,1,MONTHLY ISSUANCE,2020-09-27,NRI account
1443,54,MONTHLY ISSUANCE,2020-09-27,NRI account
1992,48,MONTHLY ISSUANCE,2020-09-27,NRI account
755,38,MONTHLY ISSUANCE,2020-09-27,NRI account
3106,12,WEEKLY ISSUANCE,2020-09-26,Salary account
2312,65,MONTHLY ISSUANCE,2020-09-26,NRI account
177,1,MONTHLY ISSUANCE,2020-09-26,NRI account
4128,64,MONTHLY ISSUANCE,2020-09-26,Savings account
89,68,MONTHLY ISSUANCE,2020-09-25,NRI account
4616,1,MONTHLY ISSUANCE,2020-09-24,Salary account
3757,64,MONTHLY ISSUANCE,2020-09-24,Savings account
2942,44,MONTHLY ISSUANCE,2020-09-24,NRI account
1814,17,MONTHLY ISSUANCE,2020-09-23,NRI account
1718,71,MONTHLY ISSUANCE,2020-09-23,Salary account
16,12,MONTHLY ISSUANCE,2020-09-23,Savings account
1101,4,MONTHLY ISSUANCE,2020-09-22,Salary account
179,1,WEEKLY ISSUANCE,2020-09-22,Savings account
3610,1,MONTHLY ISSUANCE,2020-09-22,NRI account
3463,38,MONTHLY ISSUANCE,2020-09-21,Salary account
3103,1,ISSUANCE AFTER TRANSACTION,2020-09-21,NRI account
1876,1,MONTHLY ISSUANCE,2020-09-20,Savings account
2765,69,MONTHLY ISSUANCE,2020-09-20,NRI account
387,72,MONTHLY ISSUANCE,2020-09-19,Salary account
3300,71,MONTHLY ISSUANCE,2020-09-19,NRI account
3657,62,MONTHLY ISSUANCE,2020-09-19,NRI account
823,71,MONTHLY ISSUANCE,2020-09-19,Savings account
5283,15,MONTHLY ISSUANCE,2020-09-18,Savings account
1438,23,WEEKLY ISSUANCE,2020-09-18,Salary account
328,1,MONTHLY ISSUANCE,2020-09-18,NRI account
118,68,MONTHLY ISSUANCE,2020-09-18,NRI account
3603,3,MONTHLY ISSUANCE,2020-09-17,Savings account
1872,61,MONTHLY ISSUANCE,2020-09-17,NRI account
3671,21,MONTHLY ISSUANCE,2020-09-17,NRI account
735,70,MONTHLY ISSUANCE,2020-09-17,NRI account
3274,76,MONTHLY ISSUANCE,2020-09-17,NRI account
5870,75,MONTHLY ISSUANCE,2020-09-17,Salary account
1946,46,MONTHLY ISSUANCE,2020-09-16,Savings account
402,68,MONTHLY ISSUANCE,2020-09-14,Salary account
9156,18,MONTHLY ISSUANCE,2020-09-14,Savings account
3987,25,MONTHLY ISSUANCE,2020-09-14,Salary account
3852,20,MONTHLY ISSUANCE,2020-09-14,NRI account
384,24,WEEKLY ISSUANCE,2020-09-14,NRI account
677,70,MONTHLY ISSUANCE,2020-09-13,NRI account
6505,7,MONTHLY ISSUANCE,2020-09-13,Savings account
1240,1,MONTHLY ISSUANCE,2020-09-11,NRI account
1783,70,MONTHLY ISSUANCE,2020-09-11,Salary account
7156,71,MONTHLY ISSUANCE,2020-09-11,NRI account
1085,42,MONTHLY ISSUANCE,2020-09-11,NRI account
2684,7,MONTHLY ISSUANCE,2020-09-10,Salary account
2459,55,MONTHLY ISSUANCE,2020-09-10,Savings account
2997,40,MONTHLY ISSUANCE,2020-09-09,Salary account
10650,76,MONTHLY ISSUANCE,2020-09-09,NRI account
1303,23,MONTHLY ISSUANCE,2020-09-08,Salary account
783,1,MONTHLY ISSUANCE,2020-09-08,NRI account
1729,53,MONTHLY ISSUANCE,2020-09-08,NRI account
1790,70,MONTHLY ISSUANCE,2020-09-08,NRI account
2351,74,MONTHLY ISSUANCE,2020-09-08,Savings account
2480,35,MONTHLY ISSUANCE,2020-09-07,NRI account
2444,76,MONTHLY ISSUANCE,2020-09-07,Savings account
3516,36,WEEKLY ISSUANCE,2020-09-07,Savings account
178,59,MONTHLY ISSUANCE,2020-09-06,Salary account
2079,55,MONTHLY ISSUANCE,2020-09-06,NRI account
3444,53,WEEKLY ISSUANCE,2020-09-04,Salary account
1764,68,MONTHLY ISSUANCE,2020-09-04,Savings account
4158,27,MONTHLY ISSUANCE,2020-09-04,Salary account
585,4,MONTHLY ISSUANCE,2020-09-04,NRI account
5698,1,MONTHLY ISSUANCE,2020-09-04,NRI account
10243,44,MONTHLY ISSUANCE,2020-09-03,NRI account
1026,20,MONTHLY ISSUANCE,2020-09-03,Salary account
45,64,MONTHLY ISSUANCE,2020-09-02,Salary account
2172,1,MONTHLY ISSUANCE,2020-09-02,Salary account
909,30,MONTHLY ISSUANCE,2020-09-02,NRI account
3950,48,MONTHLY ISSUANCE,2020-09-01,Salary account
2142,42,MONTHLY ISSUANCE,2020-09-01,Salary account
2492,73,MONTHLY ISSUANCE,2020-09-01,Savings account
3901,12,MONTHLY ISSUANCE,2020-08-30,NRI account
2422,27,MONTHLY ISSUANCE,2020-08-29,Savings account
3556,58,MONTHLY ISSUANCE,2020-08-29,Salary account
1154,5,WEEKLY ISSUANCE,2020-08-29,Savings account
2317,68,MONTHLY ISSUANCE,2020-08-28,Savings account
3828,44,MONTHLY ISSUANCE,2020-08-28,Salary account
3798,15,MONTHLY ISSUANCE,2020-08-27,Salary account
859,13,MONTHLY ISSUANCE,2020-08-26,NRI account
2394,62,MONTHLY ISSUANCE,2020-08-23,Savings account
8639,46,MONTHLY ISSUANCE,2020-08-22,Salary account
4003,25,MONTHLY ISSUANCE,2020-08-22,Salary account
3537,45,MONTHLY ISSUANCE,2020-08-22,Salary account
3070,56,MONTHLY ISSUANCE,2020-08-21,Salary account
645,70,MONTHLY ISSUANCE,2020-08-21,Savings account
1795,53,MONTHLY ISSUANCE,2020-08-21,Savings account
2442,14,MONTHLY ISSUANCE,2020-08-21,NRI account
2845,62,MONTHLY ISSUANCE,2020-08-21,Salary account
1845,47,MONTHLY ISSUANCE,2020-08-20,NRI account
1181,69,MONTHLY ISSUANCE,2020-08-20,NRI account
2607,1,MONTHLY ISSUANCE,2020-08-19,NRI account
653,27,MONTHLY ISSUANCE,2020-08-19,NRI account
10799,76,MONTHLY ISSUANCE,2020-08-19,Salary account
1567,10,MONTHLY ISSUANCE,2020-08-19,NRI account
996,47,MONTHLY ISSUANCE,2020-08-18,NRI account
37,20,MONTHLY ISSUANCE,2020-08-18,Salary account
2829,66,MONTHLY ISSUANCE,2020-08-18,Salary account
529,39,MONTHLY ISSUANCE,2020-08-18,Savings account
1857,37,MONTHLY ISSUANCE,2020-08-18,Savings account
9140,32,MONTHLY ISSUANCE,2020-08-18,Salary account
2485,41,MONTHLY ISSUANCE,2020-08-18,Salary account
1881,60,MONTHLY ISSUANCE,2020-08-17,Savings account
2595,1,MONTHLY ISSUANCE,2020-08-17,NRI account
13,76,MONTHLY ISSUANCE,2020-08-17,Salary account
1355,1,MONTHLY ISSUANCE,2020-08-16,Savings account
3062,17,MONTHLY ISSUANCE,2020-08-15,Savings account
9433,59,MONTHLY ISSUANCE,2020-08-14,Salary account
509,36,MONTHLY ISSUANCE,2020-08-14,NRI account
1747,30,MONTHLY ISSUANCE,2020-08-14,Salary account
2073,59,MONTHLY ISSUANCE,2020-08-14,Savings account
3097,66,MONTHLY ISSUANCE,2020-08-14,Savings account
792,3,MONTHLY ISSUANCE,2020-08-13,Savings account
1043,1,MONTHLY ISSUANCE,2020-08-13,NRI account
591,1,MONTHLY ISSUANCE,2020-08-12,Savings account
5572,15,MONTHLY ISSUANCE,2020-08-11,Salary account
3046,74,MONTHLY ISSUANCE,2020-08-11,Savings account
2138,75,MONTHLY ISSUANCE,2020-08-11,Salary account
1662,1,MONTHLY ISSUANCE,2020-08-11,Salary account
386,1,MONTHLY ISSUANCE,2020-08-11,Savings account
2776,23,MONTHLY ISSUANCE,2020-08-10,Savings account
785,21,WEEKLY ISSUANCE,2020-08-09,Savings account
2338,59,MONTHLY ISSUANCE,2020-08-08,Savings account
1319,56,ISSUANCE AFTER TRANSACTION,2020-08-08,Salary account
311,50,MONTHLY ISSUANCE,2020-08-08,NRI account
3293,1,MONTHLY ISSUANCE,2020-08-08,Salary account
1648,40,MONTHLY ISSUANCE,2020-08-08,Salary account
38,19,WEEKLY ISSUANCE,2020-08-08,Salary account
1434,70,MONTHLY ISSUANCE,2020-08-08,Savings account
7437,19,WEEKLY ISSUANCE,2020-08-08,Salary account
4784,46,MONTHLY ISSUANCE,2020-08-08,NRI account
2644,1,MONTHLY ISSUANCE,2020-08-08,NRI account
307,26,MONTHLY ISSUANCE,2020-08-07,Savings account
1951,23,MONTHLY ISSUANCE,2020-08-07,NRI account
4445,47,MONTHLY ISSUANCE,2020-08-07,Savings account
2000,5,MONTHLY ISSUANCE,2020-08-06,Salary account
3724,16,MONTHLY ISSUANCE,2020-08-06,Savings account
3281,1,MONTHLY ISSUANCE,2020-08-06,Savings account
326,61,MONTHLY ISSUANCE,2020-08-06,NRI account
1389,34,MONTHLY ISSUANCE,2020-08-05,Salary account
1033,32,MONTHLY ISSUANCE,2020-08-05,Savings account
2449,23,MONTHLY ISSUANCE,2020-08-05,Salary account
2927,37,MONTHLY ISSUANCE,2020-08-04,NRI account
4091,9,MONTHLY ISSUANCE,2020-08-04,NRI account
6602,74,MONTHLY ISSUANCE,2020-08-04,Salary account
2558,46,MONTHLY ISSUANCE,2020-08-04,Savings account
3208,29,MONTHLY ISSUANCE,2020-08-04,NRI account
4533,68,MONTHLY ISSUANCE,2020-08-03,NRI account
3343,1,MONTHLY ISSUANCE,2020-08-03,NRI account
3686,77,MONTHLY ISSUANCE,2020-08-03,Salary account
3381,68,MONTHLY ISSUANCE,2020-08-02,NRI account
1522,48,MONTHLY ISSUANCE,2020-08-02,Salary account
41,72,MONTHLY ISSUANCE,2020-08-02,Salary account
1950,70,MONTHLY ISSUANCE,2020-08-01,Salary account
811,14,WEEKLY ISSUANCE,2020-08-01,NRI account
3185,45,MONTHLY ISSUANCE,2020-07-29,NRI account
5758,44,MONTHLY ISSUANCE,2020-07-28,NRI account
1776,36,MONTHLY ISSUANCE,2020-07-27,Savings account
547,24,MONTHLY ISSUANCE,2020-07-27,Savings account
2197,46,MONTHLY ISSUANCE,2020-07-26,Salary account
2587,1,MONTHLY ISSUANCE,2020-07-25,Salary account
3346,1,MONTHLY ISSUANCE,2020-07-25,Salary account
1454,46,MONTHLY ISSUANCE,2020-07-25,NRI account
2196,11,MONTHLY ISSUANCE,2020-07-24,Savings account
2646,6,MONTHLY ISSUANCE,2020-07-24,Salary account
2722,69,MONTHLY ISSUANCE,2020-07-24,Salary account
2679,67,MONTHLY ISSUANCE,2020-07-24,Salary account
1794,74,MONTHLY ISSUANCE,2020-07-23,Salary account
801,16,MONTHLY ISSUANCE,2020-07-23,NRI account
3057,9,MONTHLY ISSUANCE,2020-07-23,Salary account
5290,34,MONTHLY ISSUANCE,2020-07-21,Salary account
2316,1,MONTHLY ISSUANCE,2020-07-21,Savings account
611,46,MONTHLY ISSUANCE,2020-07-21,Salary account
1890,1,WEEKLY ISSUANCE,2020-07-20,NRI account
2204,9,MONTHLY ISSUANCE,2020-07-20,NRI account
970,18,MONTHLY ISSUANCE,2020-07-20,Savings account
211,28,MONTHLY ISSUANCE,2020-07-19,Savings account
1432,27,MONTHLY ISSUANCE,2020-07-19,NRI account
2369,49,MONTHLY ISSUANCE,2020-07-19,Salary account
3867,1,MONTHLY ISSUANCE,2020-07-19,Savings account
680,17,MONTHLY ISSUANCE,2020-07-18,Savings account
284,54,MONTHLY ISSUANCE,2020-07-18,Savings account
1027,68,MONTHLY ISSUANCE,2020-07-18,Salary account
1995,54,MONTHLY ISSUANCE,2020-07-18,Savings account
2183,54,MONTHLY ISSUANCE,2020-07-17,Salary account
7052,55,ISSUANCE AFTER TRANSACTION,2020-07-17,Salary account
483,70,MONTHLY ISSUANCE,2020-07-15,Salary account
2678,1,MONTHLY ISSUANCE,2020-07-15,Salary account
705,35,MONTHLY ISSUANCE,2020-07-14,Salary account
2447,38,MONTHLY ISSUANCE,2020-07-14,Salary account
2452,1,MONTHLY ISSUANCE,2020-07-14,Savings account
469,72,MONTHLY ISSUANCE,2020-07-14,Salary account
9560,1,MONTHLY ISSUANCE,2020-07-13,NRI account
3985,1,MONTHLY ISSUANCE,2020-07-13,Salary account
3833,77,MONTHLY ISSUANCE,2020-07-13,NRI account
3428,27,MONTHLY ISSUANCE,2020-07-12,Savings account
679,22,MONTHLY ISSUANCE,2020-07-12,Savings account
10644,16,MONTHLY ISSUANCE,2020-07-12,NRI account
2182,22,MONTHLY ISSUANCE,2020-07-12,Salary account
2992,43,MONTHLY ISSUANCE,2020-07-11,NRI account
11317,50,MONTHLY ISSUANCE,2020-07-11,Savings account
1681,68,MONTHLY ISSUANCE,2020-07-11,NRI account
1110,54,MONTHLY ISSUANCE,2020-07-10,Salary account
105,21,MONTHLY ISSUANCE,2020-07-10,Savings account
1647,1,MONTHLY ISSUANCE,2020-07-09,Savings account
2169,57,MONTHLY ISSUANCE,2020-07-09,Salary account
258,64,MONTHLY ISSUANCE,2020-07-09,Savings account
3906,52,MONTHLY ISSUANCE,2020-07-08,NRI account
3529,12,MONTHLY ISSUANCE,2020-07-08,Salary account
864,72,MONTHLY ISSUANCE,2020-07-08,NRI account
4336,2,MONTHLY ISSUANCE,2020-07-08,Salary account
3433,73,MONTHLY ISSUANCE,2020-07-07,NRI account
2337,65,MONTHLY ISSUANCE,2020-07-07,NRI account
3,5,MONTHLY ISSUANCE,2020-07-07,NRI account
2093,64,MONTHLY ISSUANCE,2020-07-07,Savings account
2728,52,WEEKLY ISSUANCE,2020-07-06,Salary account
1339,76,MONTHLY ISSUANCE,2020-07-06,Salary account
1929,1,MONTHLY ISSUANCE,2020-07-06,NRI account
4150,65,MONTHLY ISSUANCE,2020-07-05,Salary account
10774,46,MONTHLY ISSUANCE,2020-07-05,Savings account
185,32,MONTHLY ISSUANCE,2020-07-04,Savings account
7721,13,MONTHLY ISSUANCE,2020-07-03,Salary account
3889,16,MONTHLY ISSUANCE,2020-07-03,Savings account
3085,66,MONTHLY ISSUANCE,2020-07-03,Savings account
768,26,MONTHLY ISSUANCE,2020-07-03,NRI account
8919,62,MONTHLY ISSUANCE,2020-07-03,NRI account
3154,1,MONTHLY ISSUANCE,2020-07-02,NRI account
2081,36,MONTHLY ISSUANCE,2020-07-02,NRI account
1255,68,MONTHLY ISSUANCE,2020-07-02,Salary account
2208,7,MONTHLY ISSUANCE,2020-07-02,Savings account
1284,55,MONTHLY ISSUANCE,2020-07-02,NRI account
8153,9,MONTHLY ISSUANCE,2020-07-02,Salary account
1346,74,MONTHLY ISSUANCE,2020-07-01,Salary account
1514,7,MONTHLY ISSUANCE,2020-07-01,Salary account
5196,13,WEEKLY ISSUANCE,2020-06-29,Salary account
2883,77,MONTHLY ISSUANCE,2020-06-29,Salary account
2939,5,MONTHLY ISSUANCE,2020-06-28,NRI account
